SMILES,Name,ChEMBL_ID,Assay_ChEMBL_ID,Permeability_Value,Original_Units,Permeability
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1cccc(F)c1,,CHEMBL2151820,CHEMBL2156794,0.0,nm/s,0
CS(=O)(=O)c1ccc2c(-c3nc(N[C@H]4CCCNC4)ncc3C(F)(F)F)c[nH]c2c1,,CHEMBL4779443,CHEMBL5043158,0.86,10^-6 cm/s,1
C[C@@H](NC(=O)C1(NC(=O)C(F)(F)F)CC1)c1ccc(-c2cc(Cl)cc(F)c2-c2nnn(C)n2)cc1F,,CHEMBL232354,CHEMBL897542,23.0,10^-6 cm/s,1
Cc1nn(-c2ccccn2)c2c1C(=O)CC(C)(C)C2Br,,CHEMBL1906448,CHEMBL4737461,9.52,10^-6 cm/s,1
c1coc(CNc2ccnc3[nH]cnc23)c1,,CHEMBL4800128,CHEMBL4724733,7.6,10^-6 cm/s,1
CN(C)[C@H]1CC[C@H](NC(=O)[C@@H](Cc2ccc(F)cc2)NC(=O)C2(c3ccc(Cl)cc3)CC2)CC1,,CHEMBL1807269,CHEMBL1810827,9e-06,nm/s,1
O=C(O)c1ccc2c(CN3CCC[C@H](O[C@H](CO)c4cc(Cl)cc(Cl)c4)[C@@H]3c3ccccc3)c[nH]c2c1,,CHEMBL4863830,CHEMBL4837105,4.0,10^-6 cm/s,1
Cc1cc(F)c(C(=O)NCCCC(C)(C)C)cc1-c1ccc2c(=O)n(C)ncc2c1,,CHEMBL4776565,CHEMBL4715080,8.1,10^-6 cm/s,1
COc1ccc(-c2nn(C(=O)N3CCN4CCC3CC4)c3c2CCOC3)cc1,,CHEMBL5278405,CHEMBL5225970,32.0,10^-6 cm/s,1
O=C(Nc1nc2cccc(C3CCC4(CC3)CN(C(=O)[C@@H]3CC3(F)F)C4)n2n1)C1CC1,,CHEMBL5172397,CHEMBL5154510,0.62,10^-6 cm/s,1
O=c1[nH]cc(CCc2ccc(C(F)(F)F)cc2)[nH]c1=O,,CHEMBL5194769,CHEMBL5166383,11.0,10^-6 cm/s,1
Cc1ccccc1OCCN1CCN(CC(=O)Nc2nccs2)CC1,,CHEMBL3259850,CHEMBL3271554,3.22e-05,nm/s,1
COc1cccc(C(=O)NC2CC3CCC(C2)N3c2ccc(C(=O)N[C@@H](C)c3ccccc3)cn2)c1C,,CHEMBL2204510,CHEMBL2210285,3.7999999999999995e-05,nm/s,1
CC(C)(C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21)S(C)(=O)=O,,CHEMBL2148049,CHEMBL2150613,2.8699999999999996e-06,nm/s,0
CCn1c2ccccc2c2cc(-c3nc4cc(-c5noc(=O)[nH]5)ccc4n3CCOC)ccc21,,CHEMBL4581918,CHEMBL4481174,2.63e-06,nm/s,0
COc1ccc(CC(=O)Nc2cnn(C)c2)cc1OC,,CHEMBL4205738,CHEMBL4672721,42.0,10^-6 cm/s,1
C[C@@H](N[C@H]1CCN(c2ccc(C(=O)N[C@H](CC(=O)O)C(=O)O)cc2)C1)c1cccc2ccccc12,,CHEMBL4097717,CHEMBL4047164,9e-07,nm/s,0
CCCN(Cc1ccc(OCCn2c(=O)ccn(C)c2=O)c(OC)c1)C(CC(=O)O)c1ccc2c(c1)CCO2,,CHEMBL3889529,CHEMBL3865120,2e-07,nm/s,0
N#Cc1ccc2c(c1)CCC[C@@H]2Nc1ccc2[nH]nc(-c3ccncc3)c2c1,,CHEMBL5169946,CHEMBL5157038,8.9,10^-6 cm/s,1
CC(C)(C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21)S(C)(=O)=O,,CHEMBL2148052,CHEMBL2150614,7.690000000000001e-06,nm/s,0
O=C(/C=C/c1ccc(/C=C/C(=O)c2ccc(O)c(O)c2)cc1)c1ccc(O)c(O)c1,,CHEMBL4075833,CHEMBL5339114,16.2,10^-6 cm/s,1
C[C@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)CO[C@@H]1F,,CHEMBL3634342,CHEMBL3635353,1.8299999999999998e-05,nm/s,1
O=C(Cc1ccc(Cl)cc1)N[C@H](Cc1ccc(Cl)cc1)C(=O)NCCCO,,CHEMBL1807264,CHEMBL1810827,9e-06,nm/s,1
O=C(NCCCO)[C@@H](Cc1ccc(Cl)cc1)NC(=O)C1(c2ccc(F)cc2)CCCC1,,CHEMBL1807276,CHEMBL1810827,9e-06,nm/s,1
N=C(N)NCCCCCCCCN(CCCCCCCCNC(=N)NCC1CC1)C(=O)N(CCCCCCCCNC(=N)NCC1CC1)CCCCCCCCNC(=N)NCC1CC1.O=C(O)C(F)(F)F,,CHEMBL5174654,CHEMBL5159055,0.26,10^-6 cm/s,1
COCc1nn(Cc2ccc(Cn3ccccc3=O)cc2)cc1C(=O)NCc1cccc(OC)c1F,,CHEMBL5173451,CHEMBL5112808,25.0,10^-6 cm/s,1
CC1(COCc2ccc(OCc3ccccc3)cc2)Cn2cc([N+](=O)[O-])nc2S1,,CHEMBL4209260,CHEMBL4182340,4.65e-05,nm/s,1
O=C(c1ccccc1-c1ncccn1)N1[C@@H]2CC[C@H]1[C@H](Nc1cnc(C(F)(F)F)cn1)C2,,CHEMBL4750440,CHEMBL4731181,46.2,10^-6 cm/s,1
CCP(=O)(OC)c1ccc2oc(-c3ccnc(OC(F)F)c3)nc2c1,,CHEMBL4796139,CHEMBL4731881,20.6,10^-6 cm/s,1
CC(C)C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](Cc2ccccc2)NCCCCCCNC1=O,,CHEMBL4643335,CHEMBL4618239,2.1499999999999997e-06,nm/s,0
O=C1NCCC12CCN(c1c(Cl)cncc1-c1cc3ccccc3o1)CC2,,CHEMBL4777349,CHEMBL4737752,22.9,10^-6 cm/s,1
O=C(NO)[C@@H]1[C@H](c2ccccc2)[C@H]1c1cc(Cl)c2c(c1)CCCN2,,CHEMBL3109982,CHEMBL3112160,3.0299999999999998e-05,nm/s,1
COc1ncc(CCc2ccc3c(-c4ccc(F)cc4)cc(C(N)=O)nc3c2)cn1,,CHEMBL5429002,CHEMBL5328167,27.0,10^-6 cm/s,1
CC[C@@H](C)Nc1cc(C(=O)NC2CC3CCC(C2)N3c2ccc(C(=O)C3CC3)cn2)c(C)cc1C(N)=O,,CHEMBL2204502,CHEMBL2210285,3.2e-05,nm/s,1
COc1cc(-c2ncc(COc3cccc([C@@H](CC(=O)O)C4CC4)c3)nc2CC(C)C)c(F)cn1,,CHEMBL4764485,CHEMBL4674044,40.0,10^-6 cm/s,1
CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)O,,CHEMBL254703,CHEMBL928322,5e-07,nm/s,0
CC(=O)N1N=C(c2ccc(-c3ccccc3)cc2)CC1c1ccccc1[N+](=O)[O-],,CHEMBL5179832,CHEMBL5107918,6.9,10^-6 cm/s,1
CO[C@H]1CCC[C@@H](Nc2nc(N[C@H]3CC[C@H](OC)CC3)ncc2C(N)=O)C1,,CHEMBL4858138,CHEMBL4842267,36.9,10^-6 cm/s,1
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-],NEOSTIGMINE BROMIDE,CHEMBL54126,CHEMBL1908285,7.58e-07,nm/s,0
CC(=O)N1CC(CC#N)(n2cc(-c3nc(-c4cnn(C)c4)cn4nccc34)cn2)C1,,CHEMBL4761132,CHEMBL4675811,4.0,10^-6 cm/s,1
CN1CCN(c2ccc(Nc3nccc(-c4c(-c5cccnc5)nn5c4COCC5)n3)cc2)CC1,,CHEMBL4776838,CHEMBL4714252,4.366,10^-6 cm/s,1
NC(=O)c1cc(-c2ccc(F)cc2)c2ccc(CCc3cnc(CF)nc3)cc2n1,,CHEMBL5405655,CHEMBL5328167,28.0,10^-6 cm/s,1
CC(=O)N1C[C@H](C(=O)NO)[C@H](NC(=O)c2ccc(OCc3cc(C)nc4ccccc34)cc2)C1,,CHEMBL401979,CHEMBL930649,0.2,10^-6 cm/s,1
C=C(C=O)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)Cc6nccnc6C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,,CHEMBL5427668,CHEMBL5354495,1.54,10^-6 cm/s,1
O=C(Nc1ccc(Oc2ccc(F)cc2)cc1)N1CCc2ncccc2[C@@H]1c1ccc(Cl)cc1,,CHEMBL4537998,CHEMBL4323792,1.5e-06,nm/s,0
Clc1nc(NCc2ccco2)c2[nH]cnc2n1,,CHEMBL1514018,CHEMBL4724734,16.3,10^-6 cm/s,1
Cc1nc2ccccc2n1C1CC2CCC(C1)N2CCC1(c2ccccc2)CCN(C(=O)C(C)(C)CO)CC1,,CHEMBL1784471,CHEMBL1785354,2.3599999999999998e-05,nm/s,1
CO[C@@H]1C[C@@H]2C[C@H](O)CC[C@]2(C)[C@H]2CC[C@]3(C)[C@@H]([C@H](C)CCc4nnc(C)o4)CC[C@H]3[C@H]12,,CHEMBL4519596,CHEMBL4732590,0.27,10^-6 cm/s,1
CCC(CC)/N=c1\c(O)c(O)\c1=N/c1cccc(C(=O)N(C)C)c1O,,CHEMBL214047,CHEMBL866148,1.2e-05,nm/s,1
COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCC[14C]4=O)cc2)CC3)cc1,,CHEMBL3526474,CHEMBL3527837,8.9e-06,nm/s,1
NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(N2CCOCC2)nc1F,,CHEMBL3394224,CHEMBL3396461,1.49e-06,nm/s,0
Cc1cc2c(cc1N1C(=O)c3cccc4c(CCCO)ccc(c34)C1=O)n(C)c(=O)n2C,,CHEMBL4086276,CHEMBL4051600,1.91e-05,nm/s,1
O=S(=O)(Nc1nccs1)c1cc(Cl)c(NCC2CCOCC2)cc1F,,CHEMBL4102647,CHEMBL4046489,4.2199999999999996e-05,nm/s,1
COC(=O)CCNC(=O)[C@@H]1O[P@](=O)(Oc2ccc(F)cc2)OCC1(C)C,,CHEMBL4747038,CHEMBL4679256,16.0,10^-6 cm/s,1
COc1cc2c(cc1OCCCCCCC(=O)O)C[C@@H](C(C)C)n1cc(C(=O)O)c(=O)cc1-2,,CHEMBL4850531,CHEMBL4810101,0.39,10^-6 cm/s,1
Cc1c(F)c(Nc2ccc(-c3cn(C)cn3)cn2)cc2c1ncn2CC1CC1,,CHEMBL4581355,CHEMBL4701829,47.0,10^-6 cm/s,1
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,DIMPYLATE,CHEMBL388560,CHEMBL905613,31.14,10^-6 cm/s,1
COc1cccc(C(=O)NC2CC3CCC(C2)N3c2ccc(C(=O)N[C@@H](C)c3ccc(N4CCN(C)CC4)cc3)cn2)c1C,,CHEMBL2204512,CHEMBL2210285,6.3e-06,nm/s,0
CCC[C@H](C)COc1ccc([C@H](Cn2cc(CO)nn2)NC(=O)[C@@H](C)c2ccccc2)cc1,,CHEMBL5172809,CHEMBL5132107,31.9,10^-6 cm/s,1
CCCC[C@@H](/C=N/NC(=O)N1CCCC1)NC(=O)OC(C)(C)C,,CHEMBL204103,CHEMBL868303,1.9999999999999998e-05,nm/s,1
COC[C@@H](Oc1cc(C[C@@H]2CS(=O)(=O)C[C@H](NCc3cccc(C(C)(C)C)c3)[C@H]2O)cc(F)c1N)C(F)(F)F,,CHEMBL2048053,CHEMBL2049564,1.3e-05,nm/s,1
C[C@@H](NC(=O)C1(NC(=O)C(F)(F)F)CC1)c1ccc(-c2cc(Cl)cc(Cl)c2OCC(F)F)cc1F,,CHEMBL272278,CHEMBL947968,26.0,10^-6 cm/s,1
O=S(=O)(Nc1nccs1)c1cc(Cl)c(NCC2(Cc3ccccc3)CCCN2)cc1F,,CHEMBL4795905,CHEMBL4715629,13.0,10^-6 cm/s,1
CC(=O)N(C)c1cccnc1Nc1nc(-c2cc(C(F)(F)F)c(OC(C)C)cn2)ns1,,CHEMBL5190908,CHEMBL5142725,6.9,10^-6 cm/s,1
Cc1ccccc1-c1ccc2nc(N)c(C[C@@H](C)C(=O)NCc3cnccn3)cc2c1,,CHEMBL1821824,CHEMBL1827656,1.9999999999999998e-05,nm/s,1
O=C(CS(=O)(=O)O)Nc1ccc(N2CCOCC2)c(Br)c1,,CHEMBL5220114,CHEMBL5217177,5e-09,nm/s,0
COc1cc(Sc2c(-c3ccncc3)[nH]c3ccccc23)cc(OC)c1OC,,CHEMBL2313472,CHEMBL2320897,5.42e-06,nm/s,0
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,TAMOXIFEN,CHEMBL83,CHEMBL4827360,0.2,10^-6 cm/s,1
O=S(=O)(Nc1nccs1)c1cc(Cl)c(NCC2COCCO2)cc1F,,CHEMBL4087220,CHEMBL4046489,2.1099999999999998e-05,nm/s,1
Fc1cccnc1Nc1ncc(-c2cnc3ccc(N4CCNCC4)nn23)cn1,,CHEMBL3264068,CHEMBL3265830,4e-07,nm/s,0
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,DORAMAPIMOD,CHEMBL103667,CHEMBL927883,10.0,10^-6 cm/s,1
CC(C)Cc1ccc(C(C)C(=O)O)cc1,IBUPROFEN,CHEMBL521,CHEMBL4702822,33.0,10^-6 cm/s,1
CCOc1nc2cc(Cl)c(OC)cc2n1CCNC(C)=O,,CHEMBL4852096,CHEMBL4834844,38.0,10^-6 cm/s,1
Cc1ccc(-c2cc(=O)oc3cc(O[C@H](C)C(=O)N4CC5CCC(C4)N5C)ccc23)c(C)c1,,CHEMBL5406811,CHEMBL5384295,5.32e-06,nm/s,0
N#Cc1ccc(COc2nc(N3CCC4(CC3)C[C@@H]4c3nc4ccc(C(=O)O)cc4n3C[C@@H]3CCO3)ccc2F)c(F)c1,,CHEMBL5429544,CHEMBL5366267,5.0,10^-6 cm/s,1
Cc1noc(-c2ccc3nc(Nc4cc([C@H](C)N5CCN(C(=O)CC(F)(F)F)CC5)ccn4)[nH]c3c2)n1,,CHEMBL4577511,CHEMBL4380528,1.14e-05,nm/s,1
