canonical_smiles,assay_id,description,assay_type,year,standard_value,standard_units,activity_comment,doc_id
Cc1ccc(NC(=O)c2ccnc(C(F)(F)F)c2)cc1-c1ccc2c(c1)OC1(CCOCC1)CC(=O)N2,2156389,Apparent permeability across apical to basolateral membrane in human Caco-2 cells,A,2022,15.74,10^-6 cm/s,,CHEMBL5038628
Cc1ccc(NC(=O)c2cc(C(F)(F)F)cnn2)cc1-c1ccc2c(c1)OC1(CCOCC1)CC(=O)N2,2156389,Apparent permeability across apical to basolateral membrane in human Caco-2 cells,A,2022,42.32,10^-6 cm/s,,CHEMBL5038628
Cc1ccc(NC(=O)c2ccnc(C(F)(F)F)c2)cc1-c1ccc2c(c1)OC1(CCOCC1)CC(=O)N2,2156390,Apparent permeability across basolateral to apical membrane in human Caco-2 cells,A,2022,39.84,10^-6 cm/s,,CHEMBL5038628
Cc1ccc(NC(=O)c2cc(C(F)(F)F)cnn2)cc1-c1ccc2c(c1)OC1(CCOCC1)CC(=O)N2,2156390,Apparent permeability across basolateral to apical membrane in human Caco-2 cells,A,2022,43.49,10^-6 cm/s,,CHEMBL5038628
OC[C@H]1O[C@@H](OCCc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,2156604,Permeability coefficient across apical to basolateral side in human Caco-2 cells by HPLC-UV analysis,A,2022,2.71,10^-6 cm/s,,CHEMBL5038635
COc1ccc(Cc2ccccc2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,2156604,Permeability coefficient across apical to basolateral side in human Caco-2 cells by HPLC-UV analysis,A,2022,1.75,10^-6 cm/s,,CHEMBL5038635
COc1ccc(Cc2cccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c2)cc1,2156604,Permeability coefficient across apical to basolateral side in human Caco-2 cells by HPLC-UV analysis,A,2022,1.04,10^-6 cm/s,,CHEMBL5038635
COc1ccc(Cc2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc2)cc1,2156604,Permeability coefficient across apical to basolateral side in human Caco-2 cells by HPLC-UV analysis,A,2022,1.68,10^-6 cm/s,,CHEMBL5038635
OC[C@H]1O[C@@H](Oc2ccc(Cc3ccc(O)cc3)cc2)[C@H](O)[C@@H](O)[C@@H]1O,2156604,Permeability coefficient across apical to basolateral side in human Caco-2 cells by HPLC-UV analysis,A,2022,1.3,10^-6 cm/s,,CHEMBL5038635
OC[C@H]1O[C@@H](Oc2ccc(Cc3ccc(O)c(O)c3)cc2)[C@H](O)[C@@H](O)[C@@H]1O,2156604,Permeability coefficient across apical to basolateral side in human Caco-2 cells by HPLC-UV analysis,A,2022,2.34,10^-6 cm/s,,CHEMBL5038635
O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,2156604,Permeability coefficient across apical to basolateral side in human Caco-2 cells by HPLC-UV analysis,A,2022,0.35,10^-6 cm/s,,CHEMBL5038635
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,2156604,Permeability coefficient across apical to basolateral side in human Caco-2 cells by HPLC-UV analysis,A,2022,1.33,10^-6 cm/s,,CHEMBL5038635
OC[C@H]1O[C@@H](OCCc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,2156605,Permeability coefficient across basolateral to apical side in human Caco-2 cells by HPLC-UV analysis,A,2022,2.95,10^-6 cm/s,,CHEMBL5038635
COc1ccc(Cc2ccccc2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,2156605,Permeability coefficient across basolateral to apical side in human Caco-2 cells by HPLC-UV analysis,A,2022,1.82,10^-6 cm/s,,CHEMBL5038635
COc1ccc(Cc2cccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c2)cc1,2156605,Permeability coefficient across basolateral to apical side in human Caco-2 cells by HPLC-UV analysis,A,2022,1.11,10^-6 cm/s,,CHEMBL5038635
COc1ccc(Cc2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc2)cc1,2156605,Permeability coefficient across basolateral to apical side in human Caco-2 cells by HPLC-UV analysis,A,2022,1.78,10^-6 cm/s,,CHEMBL5038635
OC[C@H]1O[C@@H](Oc2ccc(Cc3ccc(O)cc3)cc2)[C@H](O)[C@@H](O)[C@@H]1O,2156605,Permeability coefficient across basolateral to apical side in human Caco-2 cells by HPLC-UV analysis,A,2022,1.42,10^-6 cm/s,,CHEMBL5038635
OC[C@H]1O[C@@H](Oc2ccc(Cc3ccc(O)c(O)c3)cc2)[C@H](O)[C@@H](O)[C@@H]1O,2156605,Permeability coefficient across basolateral to apical side in human Caco-2 cells by HPLC-UV analysis,A,2022,2.69,10^-6 cm/s,,CHEMBL5038635
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,2156605,Permeability coefficient across basolateral to apical side in human Caco-2 cells by HPLC-UV analysis,A,2022,14.7,10^-6 cm/s,,CHEMBL5038635
CCNC(=N)NC(=O)Nc1c(CC)cccc1CC,2157009,Apparent permeability across apical to basolateral side in human Caco2/TC7 cells at pH 7.4 measured after 120 mins by LC-MS/MS analysis,A,2022,40.0,nm/s,,CHEMBL5038650
CCNC(=N)NC(=O)Nc1c(CC)cc(C(=O)NC(C)C)cc1CC,2157009,Apparent permeability across apical to basolateral side in human Caco2/TC7 cells at pH 7.4 measured after 120 mins by LC-MS/MS analysis,A,2022,1.1,nm/s,,CHEMBL5038650
